slug	version	fichier	sha512	role	type
modernfix	5.25.1+mc1.21.1	modernfix-fabric-5.25.1+mc1.21.1.jar	dc67d6e023e1fcdeaf7837917c477cba212c611dfc2463c6ea021319c644087c79b477e0ea8194e113ddd7332fd5c6d82baa47c291eaac7f4a86252507b4e19f	candidat	release
moogs-voyager-structures	5.1.1	MoogsVoyagerStructures-universal-1.21-5.1.1.jar	c05abf7a226da3a59e7eb4889fa78aef7e391ccc075551a3545d4b24ee908958dca13c87408c95dfa8e659d0dc5fbabf99dd1d034ad258eb4937bb984ae767c8	candidat	release
naturalist	2.0.3+1.21.1-fabric	naturalist-2.0.3-fabric-1.21.1.jar	8834d770b768af12486b0db44a538e3f3f0d0e962d5b7873faed7b59cd42fe26d52047b4785c3ca1eb072cabbfed26c7bd111272c16cb5c0ad9b8031c5d96444	candidat	release
natures-compass	1.21.1-2.6.0-fabric	NaturesCompass-1.21.1-2.6.0-fabric.jar	e39a30da8ad209223c508174c267a7cb59dfd78d25cf38dd2a7ac76f783a669fe3407aeaddc05550ef2cbf2614e9886464bef5ba236edb6e8bdabea9fe3035f8	candidat	release
nullscape	1.2.14	Nullscape_1.21.x_v1.2.14.jar	b35a9dfdc7180ca851aea378ee4687e18b3aae717c16870a7762afc67dc0c77598fb2c4a62cb12d6ed0eacf7c9166520e0a3e7dce20da09817065d27e62c8b44	candidat	release
reinforced-chests	3.1.1+1.21.1	reinforced-chests-3.1.1+1.21.1.jar	f4fece3423c98fcd277ab38ddc7f95763a76e4240bbc9943afe9fe0aeb1d68ecb79e487a6a7c4d99bdff8201c10a159b0d98eb27c6abb99f9b08ecae9ba9fecc	candidat	release
ribbits	4.1.6	Ribbits-1.21.1-Fabric-4.1.6.jar	00829624b226afbf75587d4cfdb8cbefaefec55acaa7aad4aae70f65fdf1cbe3edfc61bb2cf28c41d96a6b20ba0dad52dadb35dd21378ff28b39cf42f238662e	candidat	release
rightclickharvest	4.6.1+1.21.1	rightclickharvest-fabric-4.6.1+1.21.1.jar	27a43210d3a907a7f25f41a3b9038e4219e138cf13aa6b09bcada05bbd232bdca8c62a8d4ca7c20297727c201e4c969f145422046a8bad3af6ecb9f06e809dda	candidat	release
scalablelux	0.1.0.1+fabric.d0d58ab	ScalableLux-0.1.0.1+fabric.d0d58ab-all.jar	bbfe02184c3bf3b0da28175574a5a236ce7c9acc00069addd69770857f2ac572924893f3eb033bbbc965afa9779c7a7f8fc54168f9e90481a40de92f6ee3645f	candidat	release
snow-real-magic	12.2.2+fabric	SnowRealMagic-1.21.1-Fabric-12.2.2.jar	330cc2d02465261c5bb66dd87f6214563355817c69512b957d3b30f0f487172b924e0053506371eecd5c1d8a55e45d16c344363594f8afbfd398ee4c39fa3eee	candidat	release
spark	1.10.109-fabric	spark-1.10.109-fabric.jar	367f574f6d28432067f09737577d799ced9c309c1725da1d09ffdfe10eacf461a66967205cc938131afbcc8b8255c8c25f8aa516e15f061c6481b6e7b8c94250	candidat	release
sparsestructures	3.0	sparsestructures-fabric-1.21.1-3.0.jar	ecf9fffddbff620630d174313ab144fd2e6f9a9ccdbc16395a423b38bfd010ee2375c54a262dfacc09aa7b9042de7aa51ad12ac112e2c0632bfd52f757331ee0	candidat	release
spelunkery	1.21.1-0.4.4	spelunkery-1.21.1-0.4.4-fabric.jar	390ceb878a0d4f1e5d87e8aa8fdd4998c7ca9ee4dd90750ee1646efadd169bdcf72d8eb4abc02c1653095d2223ce406bbdad0662c0fae78bf70f424ede1da0dc	candidat	release
storagedrawers	1.21.1-13.11.4	StorageDrawers-fabric-1.21.1-13.11.4.jar	1ec2f81b50708b610d0e7024d067ac630c0f9497307e68e1dc22ee41c6d196f2db3249cad6ab243f3192e73b6a569fb2936a96b9bf61a94ea67a643a5f5b6283	candidat	release
